地市,告警最后发生时间,网元名称,告警标题,网络类型,网络专业,厂商告警号,原始告警名称,告警定位信息,家宽客户数量,网管告警级别,集客业务数量,设备厂家名称,告警工程状态,告警清除状态,告警对象设备类型,告警对象设备名称,设备类型,预处理状态,衍生规则结果,工单号,告警清除时间,标准化标志,衍生时间,预计创单时间,告警首次处理时间,告警首次采集时间,集客客户级别,集客业务级别,电路ID,是否隐患告警,集客专线跨域属性,集客客户数量,跨省集客告警信息,探针名称,RCA资源匹配参数,ONU标识,IT专业设备CI号,网管告警ID
金华市,2023/6/23 19:21,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-23 17:21:22出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/26 9:45,标准化成功,2023/6/23 19:21,,2023/6/23 19:21,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
金华市,2023/6/23 17:21,cmiot5gjhwchcdz.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-23 17:21:22出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230623-00426,2023/6/26 9:45,标准化成功,2023/6/23 19:21,2023/6/23 17:26,2023/6/23 17:21,2023/6/23 17:21,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999107
金华市,2023/6/23 9:10,cmiot5ggpjhj.zj,杭机股份5G+高精磨床云智造项目业务中断超2.5小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:杭机股份5G+高精磨床云智造项目,2023-06-23 06:40:15出现金华杭机股份5G+高精磨床云智造项目DNN用户数较预测值突降异常预警，当前用户数2,预测用户数5。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5ggpjhj.zj,5G业务性能,未诊断,衍生父告警,,2023/6/23 16:00,标准化成功,2023/6/23 9:10,,2023/6/23 9:10,,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999111
金华市,2023/6/23 6:40,cmiot5ggpjhj.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:杭机股份5G+高精磨床云智造项目,2023-06-23 06:40:15出现金华杭机股份5G+高精磨床云智造项目DNN用户数较预测值突降异常预警，当前用户数2,预测用户数5。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5ggpjhj.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230623-00134,2023/6/23 16:00,标准化成功,2023/6/23 9:10,2023/6/23 6:45,2023/6/23 6:40,2023/6/23 6:40,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
宁波市,2023/6/23 3:17,cmiot5gyyzldznb.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:宁波志伦电子5G+智能化工厂建设项目,2023-06-23 03:17:29出现宁波志伦电子5G+智能化工厂建设项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gyyzldznb.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230623-00047,2023/6/23 3:25,标准化成功,,2023/6/23 3:22,2023/6/23 3:17,2023/6/23 3:17,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999107
嘉兴市,2023/6/22 10:02,cmiot5gjxjqqsss1.zj,麒盛科技股份有限公司订购5G专网专享开通业务业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:麒盛科技股份有限公司订购5G专网专享开通业务,2023-06-22 08:02:50出现嘉兴麒盛科技股份有限公司DNN用户数较预测值突降异常预警，当前用户数1,预测用户数10。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjxjqqsss1.zj,5G业务性能,未诊断,衍生父告警,,2023/6/23 7:55,标准化成功,2023/6/22 10:02,,2023/6/22 10:02,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999111
金华市,2023/6/22 9:13,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-22 07:13:14出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/23 8:13,标准化成功,2023/6/22 9:13,,2023/6/22 9:13,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
嘉兴市,2023/6/22 8:02,cmiot5gjxjqqsss1.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:麒盛科技股份有限公司订购5G专网专享开通业务,2023-06-22 08:02:50出现嘉兴麒盛科技股份有限公司DNN用户数较预测值突降异常预警，当前用户数1,预测用户数10。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjxjqqsss1.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230622-00158,2023/6/23 7:55,标准化成功,2023/6/22 10:02,2023/6/22 8:07,2023/6/22 8:02,2023/6/22 8:02,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
金华市,2023/6/22 7:13,cmiot5gjhwchcdz.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-22 07:13:14出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230622-00131,2023/6/23 8:13,标准化成功,2023/6/22 9:13,2023/6/22 7:18,2023/6/22 7:13,2023/6/22 7:13,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999107
金华市,2023/6/21 14:17,cmiot5gjhwchcdz.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-21 14:17:16出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,正常,,2023/6/21 14:21,标准化成功,,2023/6/21 14:22,2023/6/21 14:17,2023/6/21 14:17,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
金华市,2023/6/21 10:57,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-21 08:57:19出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/21 14:13,标准化成功,2023/6/21 10:57,,2023/6/21 10:57,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
金华市,2023/6/21 8:57,cmiot5gjhwchcdz.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-21 08:57:19出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230621-00239,2023/6/21 14:13,标准化成功,2023/6/21 10:57,2023/6/21 9:02,2023/6/21 8:57,2023/6/21 8:57,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
金华市,2023/6/21 3:57,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-21 01:57:09出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/21 8:05,标准化成功,2023/6/21 3:57,,2023/6/21 3:57,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
金华市,2023/6/21 1:57,cmiot5gjhwchcdz.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-21 01:57:09出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230621-00046,2023/6/21 8:05,标准化成功,2023/6/21 3:57,2023/6/21 2:02,2023/6/21 1:57,2023/6/21 1:57,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
金华市,2023/6/20 23:37,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-20 21:37:20出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/21 1:49,标准化成功,2023/6/20 23:37,,2023/6/20 23:37,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999111
金华市,2023/6/20 21:37,cmiot5gjhwchcdz.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-20 21:37:20出现浙江宏昌电器科技股份有限公司5G项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数10。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230620-00662,2023/6/21 1:49,标准化成功,2023/6/20 23:37,2023/6/20 21:42,2023/6/20 21:37,2023/6/20 21:37,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
宁波市,2023/6/16 13:17,cmiot5gtpdznb.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:宁波拓普汽车电子有限公司5G专网项目,2023-06-16 13:17:56出现宁波拓普汽车电子有限公司5G专网项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数6。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gtpdznb.zj,5G业务性能,未诊断,正常,,2023/6/16 13:21,标准化成功,,2023/6/16 13:22,2023/6/16 13:17,2023/6/16 13:17,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
宁波市,2023/6/16 12:41,cmiot5gtpdznb.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:宁波拓普汽车电子有限公司5G专网项目,2023-06-16 12:41:46出现宁波拓普汽车电子有限公司5G专网项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数6。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gtpdznb.zj,5G业务性能,未诊断,正常,,2023/6/16 12:45,标准化成功,,2023/6/16 12:46,2023/6/16 12:41,2023/6/16 12:41,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
